O*NET-SOC CODE	TITLE	TASKS
11-9021.00	Construction Managers	Plans, organizes, and directs activities concerned with construction and maintenance of structures, facilities, and systems.
11-9021.00	Construction Managers	Investigates reports of damage at construction sites to ensure proper procedures are being carried out.
11-9021.00	Construction Managers	Dispatches workers to construction sites to work on specified project.
11-9021.00	Construction Managers	Formulates reports concerning such areas as work progress, costs, and scheduling.
11-9021.00	Construction Managers	Studies job specifications to plan and approve construction of project.
11-9021.00	Construction Managers	Directs and supervises workers on construction site to ensure project meets specifications.
11-9021.00	Construction Managers	Contracts workers to perform construction work in accordance with specifications.
11-9021.00	Construction Managers	Interprets and explains plans and contract terms to administrative staff, workers, and clients.
11-9021.00	Construction Managers	Requisitions supplies and materials to complete construction project.
11-9021.00	Construction Managers	Inspects and reviews construction work, repair projects, and reports to ensure work conforms to specifications.
11-9021.00	Construction Managers	Confers with supervisory personnel to discuss such matters as work procedures, complaints, and construction problems.
11-9031.00	Education Administrators, Preschool and Child Care Center/Program	Establishes program philosophy plans, policies, and academic codes of ethics to maintain educational standards for student screening, placement and training.
11-9031.00	Education Administrators, Preschool and Child Care Center/Program	Determines scope of educational program offerings and prepares drafts of course schedules and descriptions to estimate staffing and facility requirements.
11-9031.00	Education Administrators, Preschool and Child Care Center/Program	Collects and analyzes survey data, regulatory information, and demographic and employment trends to forecast enrollment patterns and curriculum changes.
11-9031.00	Education Administrators, Preschool and Child Care Center/Program	Determines allocations of funds for staff, supplies, materials, and equipment and authorizes purchases.
11-9031.00	Education Administrators, Preschool and Child Care Center/Program	Plans and coordinates consumer research and educational services to assist organizations in product development and marketing.
11-9031.00	Education Administrators, Preschool and Child Care Center/Program	Teaches classes or courses to students.
11-9031.00	Education Administrators, Preschool and Child Care Center/Program	Completes, maintains, or assigns preparation of attendance, activity, planning, or personnel reports and records for officials and agencies.
11-9031.00	Education Administrators, Preschool and Child Care Center/Program	Reviews and interprets government codes and develops programs to ensure facility safety, security, and maintenance.
11-9031.00	Education Administrators, Preschool and Child Care Center/Program	Counsels and provides guidance to students regarding personal, academic, or behavioral problems.
11-9031.00	Education Administrators, Preschool and Child Care Center/Program	Confers with parents and staff to discuss educational activities, policies, and student behavioral or learning problems.
11-9031.00	Education Administrators, Preschool and Child Care Center/Program	Writes articles, manuals, and other publications and assists in the distribution of promotional literature.
